Product_Type,Total_Quantity,Total_Gross_Sales,Total_Discounts,Total_Returns,Total_Profit
Basket,1461,143815.5,-4584.42,-4439.69,134791.39
Art & Sculpture,1427,90316.6,-2955.82,-2879.93,84480.85
Jewelry,991,31048.0,-965.85,-509.2,29572.95
Home Decor,404,27114.55,-991.21,-423.35,25699.99
Kitchen,809,16096.0,-431.11,-328.07,15336.82
Christmas,575,15476.0,-345.19,-670.0,14460.81
Soapstone,199,4795.5,-96.91,-69.5,4629.09
Accessories,84,3892.4,-107.02,0.0,3785.38
Kids,140,3838.0,-116.66,0.0,3721.34
Recycled Art,99,3792.8,-88.64,0.0,3704.16
Skin Care,101,2609.5,-37.7,0.0,2571.8
Music,98,2643.5,-82.19,-142.41,2418.9
Fair Trade Gifts,110,2258.0,-53.33,0.0,2204.67
One-of-a-Kind,12,2180.0,-71.99,0.0,2108.01
Furniture,27,2034.0,-169.04,0.0,1864.96
Textiles,43,1889.0,-112.9,-97.0,1679.1
,8,560.5,0.0,0.0,560.5
Easter,1,38.0,-3.8,0.0,34.2
Gift Baskets,1,19.5,0.0,0.0,19.5